,league,Date,Time,Home,Away,Odd_H_Open,Odd_D_Open,Odd_A_Open,Odd_Over25_Open,Odd_Under25_Open,Asian_Handicap_Open,Odd_AHH_Open,Odd_AHA_Open
82,P1,04/01/2025,18:00,Benfica,Sp Braga,1.42,5.6,7.4,1.57,2.48,-1.25,1.91,1.96
83,P1,04/01/2025,20:30,Boavista,Arouca,2.84,3.25,2.8,2.3,1.65,0.0,1.98,1.93
95,SC1,04/01/2025,15:00,Ayr,Raith Rvs,1.85,3.25,4.8,2.46,1.55,-0.5,1.85,2.08
96,SC1,04/01/2025,15:00,Morton,Hamilton,2.22,3.55,3.4,1.85,1.86,-0.25,1.93,2.03
97,SC1,04/01/2025,15:00,Partick,Dunfermline,1.75,3.4,4.2,2.08,1.71,-0.75,2.01,1.77
98,SC1,04/01/2025,15:00,Queens Park,Livingston,3.3,3.35,2.2,2.02,1.77,0.25,1.99,1.93
99,SC2,04/01/2025,15:00,Arbroath,Alloa,1.82,3.0,3.5,1.78,1.74,-0.5,1.82,1.92
100,SC2,04/01/2025,15:00,Inverness C,Dumbarton,1.63,3.35,4.4,1.83,1.88,-0.75,1.81,1.92
101,SC2,04/01/2025,15:00,Montrose,Kelty Hearts,2.7,3.35,2.32,1.83,1.82,0.0,2.0,1.74
102,SC2,04/01/2025,15:00,Queen of Sth,Cove Rangers,2.56,3.45,2.76,1.81,1.74,0.0,1.89,2.02
103,SC2,04/01/2025,15:00,Stenhousemuir,Annan Athletic,1.71,3.35,4.5,1.73,1.45,-0.75,1.89,1.91
104,SC3,04/01/2025,15:00,Clyde,Stirling,1.94,3.35,2.34,1.8,2.0,-0.5,2.07,1.8
105,SC3,04/01/2025,15:00,East Fife,Forfar,1.82,2.1,3.55,1.84,1.71,-0.5,1.82,1.93
106,SC3,04/01/2025,15:00,Edinburgh City,Bonnyrigg Rose,2.82,3.45,2.6,1.85,1.94,0.25,1.74,2.23
107,SC3,04/01/2025,15:00,Elgin,Spartans,2.18,3.25,2.94,1.98,1.82,-0.25,1.9,1.93
108,SC3,04/01/2025,15:00,Peterhead,Stranraer,1.67,3.2,4.4,1.95,1.77,-0.75,1.87,1.83
112,T1,04/01/2025,10:30,Ad. Demirspor,Buyuksehyr,5.7,4.4,1.63,1.66,2.22,1.0,1.81,1.99
113,T1,04/01/2025,13:00,Antalyaspor,Eyupspor,2.54,3.45,2.96,1.77,1.95,0.0,1.8,2.11
114,T1,04/01/2025,16:00,Galatasaray,Goztep,1.33,7.2,8.6,1.33,3.65,-1.5,1.85,1.95
115,T1,04/01/2025,17:00,Samsunspor,Trabzonspor,2.24,3.5,3.45,1.76,2.16,-0.25,1.93,1.99
